,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
35,0.001,5.235987755982988,0.0,0.0,0.7333333333333333,0.6,0.6,11.585993911976848,10.404236179888818,-9.299399641801795,19.515535586797288,-13.387288059801174,27.845866473113606,18.05229013681223,21.385521322215173,756.0,756.0,-0.4714,-0.5527,-5.989599999999999,22.1256,-22.5295,0.1096,0.635458206425,0.539285106944,0.733348041405,-0.049616020063,-0.0286511678923,3.94815284677e-06
36,0.001,4.71238898038469,0.0,0.0,0.2333333333333333,-0.6,0.0,8.74771646845209,15.740221936424827,-9.2851635841462,18.341911512693393,-7.366958024880232,12.180243366230673,7.747103545737041,14.252922728657964,755.0,755.0,0.5148,0.0810999999999999,-1.9538,-1.5634,20.8229,0.0694999999999999,-0.600046343205,-0.0702809022314,0.233365923869,-0.0573001455206,1.12245818197e-06,1.2564416343e-06
37,0.001,4.71238898038469,0.0,0.0,0.1166666666666666,-0.6,0.0,7.039037810672727,12.161415351221166,-7.170200005902654,14.69088561513909,-7.375687445096205,13.922933236556803,7.957173177282213,15.671434979882573,756.0,755.0,-0.1318,-0.0347,-0.9187,0.9884,-5.4445,0.0085,7.11974828316e-07,-5.55657641038e-07,0.116669969139,-0.0572963278868,-1.80374550122e-06,-6.30057355247e-06
38,0.001,4.188790204786391,0.0,0.0,0.7333333333333333,0.6,-0.6,8.508054397247905,17.545759429303743,-12.836406839835481,11.710189094879032,-16.911179038311868,16.925323326833308,12.893243791101783,33.434130109350804,756.0,756.0,-0.4594,0.4897999999999999,-6.0495,-25.547899999999995,-24.1636,-0.2895999999999999,0.564711733642,-0.661285321865,0.733397446116,-0.0495595221536,0.0286237353557,-0.00012276944002
39,0.0755,4.71238898038469,0.0,0.0,0.0666666666666666,0.0,0.0,6.9431176165686175,12.95641408981746,-7.253351317497738,14.608486970748002,-6.842619375422564,12.384042383038377,7.231503873770334,14.864319779081077,755.0,755.0,0.1714,0.1265,-0.6979,-3.3613,6.3939,0.1796,-0.199384620035,-5.484415404,0.265701366177,-4.32584677422,-9.15207125669e-07,-1.14509197953e-05
40,0.0755,0.5235987755982988,0.0,0.0,-0.1,-0.6,0.6,6.65036187062142,12.154226470467988,-6.803293976713239,14.539108582047506,-6.549863629475366,12.557488354789614,7.04361585771467,14.166199742782345,755.0,755.0,0.0953999999999999,-0.0404999999999999,-0.3288999999999999,1.7519000000000002,4.5991,-0.0603999999999999,3.76660165245,3.0369545371,0.0999869888162,2.16137988703,-3.74539337569,-5.28521022226e-06
41,0.001,2.617993877991494,0.0,0.0,0.0666666666666666,0.6,0.6,7.078571767678515,11.091869893491655,-6.458104365820275,14.816622136849487,-6.982443015277942,14.846975181905954,8.385048902577203,15.042101900126095,755.0,755.0,-0.181,-0.2264999999999999,-0.9332,9.2528,-7.5431,0.0239999999999999,0.53929864216,0.634982636343,0.0667070401643,0.0286508495032,0.0496206230516,-5.72907909685e-06
42,0.0755,5.759586531581287,0.0,0.0,0.2333333333333333,-0.6,-0.6,8.018382201722845,17.21167845105043,-9.81093220319851,16.465419642484598,-7.926568665061897,11.176527272474392,7.270757688912264,15.8710158240339,756.0,756.0,0.3821,0.3888,-2.1099,-15.316699999999996,16.6481,0.2155,3.78838608467,-3.44821083698,0.431419840067,-2.16138101188,-3.74539017777,-7.41288377594e-06
43,0.001,4.188790204786391,0.0,0.0,0.5666666666666667,0.0,0.0,10.917066716304223,17.367872155168865,-11.944503912271982,19.437438734738073,-11.236228058030377,16.482774498497754,11.564133546105195,20.300842821392735,756.0,756.0,0.0994999999999999,0.0699999999999999,-4.5557,-3.2103,2.0534000000000003,-0.0748,-0.0354146014384,-0.061030050192,0.566722402258,-0.0496062532286,0.02863791778,3.50285489598e-06
44,0.0755,4.188790204786391,0.0,0.0,0.9,0.0,0.0,15.953695013133403,26.808913826327355,-18.40642806393303,23.35095876570543,-14.025610743253484,14.955547169339763,13.876960255326233,23.33360390969227,756.0,756.0,0.4918,0.5266,-7.683499999999999,-19.8074,15.335399999999998,-0.2427,-2.87323889547,-4.83064920356,1.09429623151,-3.74538533204,2.16137414289,-1.59209584351e-06
