,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
34,0.001,1.0471975511965976,0.0,0.0,0.175,0.6,0.6,7.86611797018761,10.284124432325855,-5.708102219584264,16.37902236895047,-6.48998143787554,16.97813873145902,9.671463760729564,14.074241472740974,744.0,745.0,-0.2563,-0.3259,-1.3197,13.386599999999998,-13.3155,0.1672,0.635109278005,0.660697355933,0.17503334367,0.0496185935384,-0.028658788948,-2.35254023964e-05
35,0.001,4.188790204786391,0.0,0.0,0.175,-0.6,-0.6,7.583944864193022,14.26927691391097,-8.038731125844707,16.3144023438231,-6.889364910975573,12.029256564784696,7.396838876246175,14.160401506244133,744.0,745.0,0.2448,0.214,-1.1283,-10.2845,9.2344,-0.3362,-0.635234371148,-0.660889498152,0.175057042891,-0.0496813921723,0.0286195020169,-0.000102394425795
36,0.001,4.188790204786391,0.0,0.0,0.0875,-0.6,-0.6,7.219290388753861,11.126302625602012,-6.130286383749742,15.530346038944357,-6.355406571939659,14.36044053277076,8.267055214628078,13.841609382282446,744.0,744.0,-0.1142,-0.1458999999999999,-0.6626,5.712899999999999,-5.9727,-0.0391,1.39772463354e-06,3.7397543193e-06,0.0874999918565,-0.0496179861131,0.0286470617469,-5.40733236946e-07
37,0.0355,4.188790204786391,0.0,0.0,-0.1,-0.6,-0.6,6.750448920332083,11.443204729257474,-6.194906408877111,14.858297777619718,-6.034163343576589,12.854070259230417,7.3020628393927005,13.3548051929896,744.0,744.0,0.0255,-0.0004,-0.0834,-0.0339999999999999,-0.098,-0.1039999999999999,-1.88463889555,-2.79279969137,-0.0557461216454,-1.76148181317,1.01679964334,-0.000153711933807
38,0.001,3.141592653589793,0.0,0.0,0.7250000000000001,0.0,-0.6,9.690791057931095,24.54623947484026,-15.017976051456817,16.40597498617814,-12.696630328253066,11.893046130262366,9.392700865707349,25.165024164295318,745.0,745.0,-0.0050999999999999,0.4406,-5.070099999999999,-24.4187,-5.347,-0.5911000000000001,-0.0706597358159,-0.600047662284,0.725030854645,2.15965055878e-06,0.0572906010896,8.95067146999e-06
39,0.0355,1.0471975511965976,0.0,0.0,-0.1,0.6,-0.6,6.685332049717947,11.59514409402379,-6.328454460807007,14.73336572904014,-6.125326962436379,12.732518767417362,7.220210807564699,13.535741263346234,744.0,745.0,0.0199,-0.0067,-0.0805999999999999,0.0287,-0.1301,-0.1154,1.79632713333,1.5043805542,-0.0557862068264,1.76140279486,-1.01688378572,5.73549452471e-05
40,0.0355,2.0943951023931957,0.0,0.0,0.45,0.6,-0.6,6.780513151694505,15.863186438173178,-10.392749787618365,12.000587062932198,-12.218823507826164,14.416734881789917,9.013371964292825,26.54871254331875,745.0,745.0,-0.2952999999999999,0.3422,-3.1857,-19.1364,-16.547599999999996,-0.3156,-0.694199535131,1.52123422763,0.493515042738,1.76134589166,1.01687066544,-0.000104244395751
41,0.0355,2.0943951023931957,0.0,0.0,0.225,0.6,-0.6,7.136696417830923,13.964990251568118,-8.09091304494387,14.306734361304585,-8.266057993385422,13.504558224611284,8.228850827276425,17.871563923461526,745.0,745.0,-0.0947999999999999,0.1843,-0.9628999999999998,-10.1573,-5.9176,-0.2472,1.33370355747e-05,-6.48800573109e-06,0.225001030189,1.76139905157,1.01683517844,-3.82571180173e-07
42,0.001,0.0,0.0,0.0,-0.1,0.6,0.0,6.624140010463882,11.66283011678395,-6.4227279898595455,14.630026038646507,-6.272300442694981,12.774816898868378,7.198628015480161,13.759293787672261,745.0,745.0,0.023,-0.0043999999999999,-0.0819999999999999,-0.0073,-0.1096,-0.1148999999999999,0.669821150724,-1.4835181619e-05,-0.0999715206917,-1.09601697888e-06,-0.0572987272968,-1.45302434399e-06
43,0.001,2.0943951023931957,0.0,0.0,-0.1,-0.6,0.6,6.620215179103812,11.64289646580749,-6.4146144943101655,14.617049683810874,-6.2468784542494324,12.762906640370627,7.194362797513752,13.70806133035255,744.0,745.0,0.0234999999999999,-0.0039999999999999,-0.0832,-0.0103,-0.1017999999999999,-0.0972999999999999,-0.63495874936,0.660476711381,-0.0999622044442,0.0496096943661,0.0286501446057,-2.20628258321e-05
44,0.0355,5.235987755982988,0.0,0.0,0.45,0.0,-0.6,7.64056542846293,19.155709800751293,-11.069507032187458,15.1947088350704,-9.469262441187713,11.284928358809944,7.461571913051593,19.582854535524774,745.0,745.0,0.0573,0.5616,-2.7035,-26.3724,-0.1059,-0.5878999999999999,1.20615976934,-2.80962318849,0.493554627263,-1.76140924325,-1.0168029109,7.83203492062e-05
